"TableName","LastIngestion","TotalGB","EstCost90d"
"AppTraces","3/2/2026 9:00:00 AM","108.3693","299.1"
"SecurityEvent","3/2/2026 9:00:00 AM","89.2036","246.2"
"BehaviorAnalytics","3/2/2026 9:00:00 AM","16.7949","46.35"
"AzureDiagnostics","3/2/2026 9:00:00 AM","11.2009","30.91"
"AppExceptions","3/2/2026 9:00:00 AM","8.8749","24.49"
"ThreatIntelIndicators","3/2/2026 9:00:00 AM","7.6887","21.22"
"DeviceProcessEvents","3/2/2026 9:00:00 AM","7.5456","20.83"
"desktopcentral_SRCH","2/9/2026 1:00:00 PM","6.1473","16.97"
"DeviceEvents","3/2/2026 9:00:00 AM","5.5383","15.29"
"SentinelHealth","3/2/2026 9:00:00 AM","4.2309","11.68"
"DefectDojoFindings_CL","3/2/2026 9:00:00 AM","4.1893","11.56"
"AppMetrics","3/2/2026 9:00:00 AM","3.872","10.69"
"CloudAppEvents","3/2/2026 9:00:00 AM","3.2543","8.98"
"SecurityRecommendation","3/2/2026 9:00:00 AM","2.1396","5.91"
"Event","3/2/2026 9:00:00 AM","1.8739","5.17"
"Forcepointdlp_CL","3/2/2026 9:00:00 AM","1.7262","4.76"
"SigninLogs","3/2/2026 9:00:00 AM","1.6765","4.63"
"AppRequests","3/2/2026 9:00:00 AM","1.2867","3.55"
"DeviceNetworkEvents","3/2/2026 9:00:00 AM","1.2737","3.52"
"AzureActivity","3/2/2026 9:00:00 AM","0.7944","2.19"
"AzureMetrics","3/2/2026 9:00:00 AM","0.6279","1.73"
"Heartbeat","3/2/2026 9:00:00 AM","0.5501","1.52"
"SecurityAttackPathData","3/2/2026 7:00:00 AM","0.4968","1.37"
"OfficeActivity","3/2/2026 9:00:00 AM","0.4595","1.27"
"AppPerformanceCounters","3/2/2026 9:00:00 AM","0.3995","1.1"
"Watchlist","3/2/2026 6:00:00 AM","0.2954","0.82"
"AuditLogs","3/2/2026 9:00:00 AM","0.2362","0.65"
"LAQueryLogs","3/2/2026 9:00:00 AM","0.2308","0.64"
"DeviceNetworkInfo","3/2/2026 9:00:00 AM","0.2067","0.57"
"EmailUrlInfo","3/2/2026 9:00:00 AM","0.1869","0.52"
"AlertEvidence","3/2/2026 9:00:00 AM","0.1642","0.45"
"SecurityIncident","3/2/2026 9:00:00 AM","0.159","0.44"
"EmailEvents","3/2/2026 9:00:00 AM","0.1253","0.35"
"AADManagedIdentitySignInLogs","3/2/2026 9:00:00 AM","0.121","0.33"
"DeviceInfo","3/2/2026 9:00:00 AM","0.1109","0.31"
"SecurityNestedRecommendation","2/25/2026 4:00:00 PM","0.1084","0.3"
"UserPeerAnalytics","3/2/2026 2:00:00 AM","0.0925","0.26"
"SecurityAlert","3/2/2026 9:00:00 AM","0.0796","0.22"
"EasmAssetWebComponent_CL","3/1/2026 9:00:00 PM","0.0723","0.2"
