"TableName","LastIngestion","TotalGB","EstCost90d"
"AppTraces","3/2/2026 9:00:00 AM","108.3693","299.1"
"AppExceptions","3/2/2026 9:00:00 AM","8.8749","24.49"
"ThreatIntelIndicators","3/2/2026 9:00:00 AM","7.6887","21.22"
"desktopcentral_SRCH","2/9/2026 1:00:00 PM","6.1473","16.97"
"SentinelHealth","3/2/2026 9:00:00 AM","4.2309","11.68"
"DefectDojoFindings_CL","3/2/2026 9:00:00 AM","4.1893","11.56"
"AppMetrics","3/2/2026 9:00:00 AM","3.872","10.69"
"SecurityRecommendation","3/2/2026 9:00:00 AM","2.1396","5.91"
"Forcepointdlp_CL","3/2/2026 9:00:00 AM","1.7262","4.76"
"AppRequests","3/2/2026 9:00:00 AM","1.2867","3.55"
"AzureMetrics","3/2/2026 9:00:00 AM","0.6279","1.73"
"SecurityAttackPathData","3/2/2026 7:00:00 AM","0.4968","1.37"
"AppPerformanceCounters","3/2/2026 9:00:00 AM","0.3995","1.1"
"LAQueryLogs","3/2/2026 9:00:00 AM","0.2308","0.64"
"DeviceNetworkInfo","3/2/2026 9:00:00 AM","0.2067","0.57"
"AADManagedIdentitySignInLogs","3/2/2026 9:00:00 AM","0.121","0.33"
"SecurityNestedRecommendation","2/25/2026 4:00:00 PM","0.1084","0.3"
"UserPeerAnalytics","3/2/2026 2:00:00 AM","0.0925","0.26"
"EasmAssetWebComponent_CL","3/1/2026 9:00:00 PM","0.0723","0.2"
"EmailAttachmentInfo","3/2/2026 9:00:00 AM","0.067","0.18"
"SecurityRegulatoryCompliance","3/2/2026 8:00:00 AM","0.0599","0.17"
"SecurityBaseline","3/2/2026 1:00:00 AM","0.0459","0.13"
"OTXThreatIntel_CL_CL","2/10/2026 10:00:00 AM","0.0481","0.13"
"EasmHostAsset_CL","3/1/2026 9:00:00 PM","0.0276","0.08"
"EasmPageAsset_CL","3/1/2026 9:00:00 PM","0.0241","0.07"
"AADProvisioningLogs","3/2/2026 8:00:00 AM","0.0169","0.05"
"SecureScoreControls","2/28/2026 10:00:00 PM","0.0093","0.03"
"EasmAssetBanner_CL","3/1/2026 9:00:00 PM","0.0083","0.02"
"ProtectionStatus","3/2/2026 9:00:00 AM","0.0072","0.02"
"IntuneDevices","3/1/2026 12:00:00 PM","0.0051","0.01"
"IntuneAuditLogs","3/2/2026 7:00:00 AM","0.0036","0.01"
"EasmAsset_CL","3/1/2026 9:00:00 PM","0.005","0.01"
"EasmIpAddressAsset_CL","3/1/2026 9:00:00 PM","0.0046","0.01"
"IntuneDeviceComplianceOrg","3/1/2026 12:00:00 PM","0.0033","0.01"
"abuseip_CL","12/13/2025 1:00:00 AM","0.0001","0"
"Workvivo_CL","3/2/2026 6:00:00 AM","0.0001","0"
"AADRiskyUsers","3/2/2026 6:00:00 AM","0","0"
"UpdateSummary","3/2/2026 8:00:00 AM","0.0011","0"
"ThreatIntelObjects","2/23/2026 7:00:00 PM","0.0001","0"
"AADUserRiskEvents","3/2/2026 6:00:00 AM","0.0001","0"
"SqlVulnerabilityAssessmentScanStatus","3/2/2026 1:00:00 AM","0.0001","0"
"SqlAtpStatus","3/2/2026 9:00:00 AM","0.0006","0"
"AppSystemEvents","2/2/2026 4:00:00 AM","0","0"
"SentinelAudit","3/1/2026 3:00:00 PM","0.0001","0"
"CustomWebApp_CL","2/14/2026 2:00:00 PM","0","0"
"IdentityDirectoryEvents","2/23/2026 12:00:00 PM","0","0"
"SecurityBaselineSummary","3/2/2026 1:00:00 AM","0.0002","0"
"EasmContactAsset_CL","3/1/2026 9:00:00 PM","0.0001","0"
"EasmDomainAsset_CL","3/1/2026 9:00:00 PM","0.0013","0"
"SecureScores","2/28/2026 2:00:00 PM","0.0001","0"
"EasmRisk_CL","3/1/2026 9:00:00 PM","0.0014","0"
"PowerBIActivity","3/1/2026 1:00:00 PM","0.0001","0"
"OracleFusionAudit_CL","12/24/2025 12:00:00 PM","0","0"
"EasmSslCertAsset_CL","3/1/2026 9:00:00 PM","0.0007","0"
"MicrosoftPurviewInformationProtection","2/27/2026 8:00:00 AM","0.0015","0"
"EmailPostDeliveryEvents","2/28/2026 12:00:00 PM","0","0"
"IntuneOperationalLogs","3/2/2026 4:00:00 AM","0.0001","0"
"DefectDojoEndpoints_CL","1/12/2026 6:00:00 AM","0","0"
"virustotal_CL","12/8/2025 5:00:00 PM","0.0005","0"
